Map_Label,Longitude,Latitude,Acres,TMA_PropertyID,SquareFeet,PerimeterLength,PropertyType,Address,City,State,Zipcode,Complex,PSA,SupDist,Ownership,Land_ID,State_Senate,MONS_Neighborhood,Police_District,US_Congress,Realtor_Neighborhood,State_Assembly,Planning_Neighborhood,shape,created_date,last_edited_date
Fallen Bridge Mini Park,-122.4060539,37.762317,0.31973125,202,13927.49193246,714.65073612,Mini Park,18th Street & Utah,San Francisco,CA,94110,Civic Center/Potrero Hill Complex,PSA2,10,Recreation & Park,4200000013.0,11th Senatorial District,Potrero Hill,Mission,12th Congressional District,Potrero Hill,17th Assembly District,Mission,"MULTIPOLYGON (((-122.4059002 37.7626381, -122.4059691 37.7626337, -122.406006 37.7626314, -122.4061166 37.7626244, -122.406117 37.7626244, -122.406117 37.7626247, -122.4061687 37.7626216, -122.4061298 37.762115, -122.4061326 37.7620772, -122.406141 37.7620461, -122.4061622 37.7620147, -122.4061922 37.7619859, -122.4062207 37.7619688, -122.4062485 37.7619564, -122.4062687 37.7619501, -122.4062843 37.761946, -122.4063098 37.7619435, -122.4063302 37.7619053, -122.4061926 37.7618545, -122.4059344 37.7622803, -122.4059276 37.7623102, -122.405928 37.762425, -122.4059237 37.7624575, -122.405918 37.7625015, -122.4059137 37.7625342, -122.4059002 37.7626381)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Turk & Hyde Mini Park,-122.41593984,37.78272703,0.15398308,192,6707.50423884,323.233236,Mini Park,Hyde & Vallejo,San Francisco,CA,94102,Civic Center/Potrero Hill Complex,PSA2,5,Recreation & Park,3768.0,11th Senatorial District,Tenderloin,Tenderloin,12th Congressional District,Tenderloin,17th Assembly District,Downtown/Civic Center,"MULTIPOLYGON (((-122.4158274 37.7826365, -122.415827 37.7826365, -122.4158263 37.7826366, -122.4158256 37.7826367, -122.4158249 37.7826369, -122.4158242 37.782637, -122.4158235 37.7826371, -122.4158228 37.7826373, -122.4158221 37.7826374, -122.4158214 37.7826376, -122.4158207 37.7826378, -122.41582 37.782638, -122.4158194 37.7826382, -122.4158187 37.7826384, -122.415818 37.7826386, -122.4158173 37.7826388, -122.4158167 37.782639, -122.415816 37.7826393, -122.4158154 37.7826395, -122.4158147 37.7826398, -122.4158141 37.7826401, -122.4158135 37.7826404, -122.4158128 37.7826406, -122.4158122 37.7826409, -122.4158116 37.7826412, -122.415811 37.7826416, -122.4158104 37.7826419, -122.4158098 37.7826422, -122.4158092 37.7826426, -122.4158086 37.7826429, -122.4158081 37.7826433, -122.4158075 37.7826436, -122.4158069 37.782644, -122.4158064 37.7826444, -122.4158059 37.7826447, -122.4158053 37.7826451, -122.4158048 37.7826455, -122.4158043 37.7826459, -122.4158038 37.7826464, -122.4158033 37.7826468, -122.4158028 37.7826472, -122.4158023 37.7826476, -122.4158019 37.7826481, -122.4158014 37.7826485, -122.415801 37.782649, -122.4158005 37.7826494, -122.4158001 37.7826499, -122.4157997 37.7826504, -122.4157993 37.7826509, -122.4157989 37.7826513, -122.4157985 37.7826518, -122.4157981 37.7826523, -122.4157978 37.7826528, -122.4157974 37.7826533, -122.4157971 37.7826538, -122.4157968 37.7826543, -122.4157964 37.7826549, -122.4157961 37.7826554, -122.4157958 37.7826559, -122.4157956 37.7826564, -122.4157953 37.782657, -122.415795 37.7826575, -122.4157948 37.7826581, -122.4157945 37.7826586, -122.4157943 37.7826591, -122.4157941 37.7826597, -122.4157939 37.7826602, -122.4157937 37.7826608, -122.4157935 37.7826614, -122.4157934 37.7826619, -122.4157932 37.7826625, -122.4157931 37.782663, -122.415793 37.7826636, -122.4157929 37.7826642, -122.4157928 37.7826648, -122.4157927 37.7826653, -122.4157926 37.7826659, -122.4157925 37.7826665, -122.4157925 37.782667, -122.4157924 37.7826676, -122.4157924 37.7826682, -122.4157924 37.7826688, -122.4157924 37.7826693, -122.4157924 37.7826699, -122.4157924 37.7826705, -122.4157925 37.7826711, -122.4157925 37.7826716, -122.4157926 37.7826722, -122.4157927 37.7826728, -122.4157928 37.7826734, -122.4157929 37.7826739, -122.415793 37.7826745, -122.4158319 37.7828584, -122.4158729 37.7828532, -122.4159402 37.7828446, -122.4160142 37.7828352, -122.4160665 37.7828286, -122.4161186 37.7828219, -122.4160833 37.7826462, -122.4160822 37.7826409, -122.4160815 37.7826375, -122.416075 37.782605, -122.4158274 37.7826365)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Sunnyside Conservatory,-122.44076296,37.73192078,0.29052795,180,12655.39644975,728.67383519,Mini Park,Monterey & Baden,San Francisco,CA,94131,Glen Park Complex,PSA5,7,Recreation & Park,3507.0,11th Senatorial District,Sunnyside,Ingleside,12th Congressional District,Sunnyside,17th Assembly District,Outer Mission,"MULTIPOLYGON (((-122.4405496 37.7320252, -122.4405496 37.7320277, -122.4405512 37.7322731, -122.4405523 37.7323103, -122.440553 37.7323349, -122.4406411 37.7323344, -122.4406399 37.7323125, -122.4406376 37.7322727, -122.4406358 37.7319917, -122.4407223 37.7319915, -122.4408087 37.7319913, -122.4408952 37.7319911, -122.4409816 37.731991, -122.4409825 37.7318932, -122.4409811 37.7316781, -122.4407184 37.7316795, -122.4407207 37.731749, -122.440721 37.7317845, -122.4407212 37.7318291, -122.4407213 37.7318399, -122.4407213 37.7318429, -122.4407216 37.7318788, -122.4407218 37.7319125, -122.4407219 37.7319393, -122.4406201 37.7319396, -122.4406066 37.7319396, -122.4405836 37.7319396, -122.440562 37.7319397, -122.440549 37.7319397, -122.4405494 37.7319919, -122.4405496 37.7320252)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Sgt. John Macaulay Park,-122.4181763,37.78539574,0.27774379,123,12098.51413002,444.4984807,Mini Park,Larkin & O'Farrell Streets,San Francisco,CA,94109,Civic Center/Potrero Hill Complex,PSA2,5,Recreation & Park,226.0,11th Senatorial District,Tenderloin,Northern,12th Congressional District,Downtown,17th Assembly District,Downtown/Civic Center,"MULTIPOLYGON (((-122.4180467 37.7852225, -122.4180462 37.7852225, -122.4180455 37.7852226, -122.4180448 37.7852228, -122.4180441 37.7852229, -122.4180434 37.785223, -122.4180427 37.7852232, -122.418042 37.7852233, -122.4180413 37.7852235, -122.4180406 37.7852236, -122.4180399 37.7852238, -122.4180392 37.785224, -122.4180385 37.7852242, -122.4180378 37.7852244, -122.4180372 37.7852246, -122.4180365 37.7852249, -122.4180358 37.7852251, -122.4180352 37.7852254, -122.4180345 37.7852256, -122.4180339 37.7852259, -122.4180333 37.7852261, -122.4180326 37.7852264, -122.418032 37.7852267, -122.4180314 37.785227, -122.4180308 37.7852273, -122.4180302 37.7852276, -122.4180296 37.785228, -122.418029 37.7852283, -122.4180284 37.7852286, -122.4180278 37.785229, -122.4180273 37.7852293, -122.4180267 37.7852297, -122.4180261 37.7852301, -122.4180256 37.7852305, -122.4180251 37.7852308, -122.4180245 37.7852312, -122.418024 37.7852316, -122.4180235 37.7852321, -122.418023 37.7852325, -122.4180225 37.7852329, -122.418022 37.7852333, -122.4180216 37.7852338, -122.4180211 37.7852342, -122.4180206 37.7852347, -122.4180202 37.7852351, -122.4180198 37.7852356, -122.4180193 37.785236, -122.4180189 37.7852365, -122.4180185 37.785237, -122.4180181 37.7852375, -122.4180178 37.785238, -122.4180174 37.7852385, -122.418017 37.785239, -122.4180167 37.7852395, -122.4180163 37.78524, -122.418016 37.7852405, -122.4180157 37.785241, -122.4180154 37.7852415, -122.4180151 37.7852421, -122.4180148 37.7852426, -122.4180146 37.7852431, -122.4180143 37.7852437, -122.4180141 37.7852442, -122.4180138 37.7852447, -122.4180136 37.7852453, -122.4180134 37.7852458, -122.4180132 37.7852464, -122.418013 37.785247, -122.4180129 37.7852475, -122.4180127 37.7852481, -122.4180126 37.7852486, -122.4180124 37.7852492, -122.4180123 37.7852498, -122.4180122 37.7852503, -122.4180121 37.7852509, -122.418012 37.7852515, -122.4180119 37.7852521, -122.4180119 37.7852526, -122.4180118 37.7852532, -122.4180118 37.7852538, -122.4180118 37.7852543, -122.4180118 37.7852549, -122.4180118 37.7852555, -122.4180118 37.7852561, -122.4180118 37.7852566, -122.4180119 37.7852572, -122.4180119 37.7852578, -122.418012 37.7852584, -122.4180121 37.7852589, -122.4180122 37.7852595, -122.4180123 37.7852601, -122.4180748 37.7855787, -122.4180748 37.7855788, -122.4180749 37.7855794, -122.4180751 37.7855799, -122.4180752 37.7855805, -122.4180754 37.7855811, -122.4180756 37.7855816, -122.4180757 37.7855822, -122.4180759 37.7855827, -122.4180761 37.7855833, -122.4180764 37.7855838, -122.4180766 37.7855844, -122.4180768 37.7855849, -122.4180771 37.7855855, -122.4180774 37.785586, -122.4180776 37.7855865, -122.4180779 37.785587, -122.4180782 37.7855876, -122.4180785 37.7855881, -122.4180789 37.7855886, -122.4180792 37.7855891, -122.4180795 37.7855896, -122.4180799 37.7855901, -122.4180803 37.7855906, -122.4180807 37.7855911, -122.418081 37.7855916, -122.4180814 37.7855921, -122.4180819 37.7855925, -122.4180823 37.785593, -122.4180827 37.7855935, -122.4180832 37.7855939, -122.4180836 37.7855944, -122.4180841 37.7855948, -122.4180845 37.7855953, -122.418085 37.7855957, -122.4180855 37.7855961, -122.418086 37.7855965, -122.4180865 37.7855969, -122.418087 37.7855973, -122.4180876 37.7855977, -122.4180881 37.7855981, -122.4180886 37.7855985, -122.4180892 37.7855989, -122.4180898 37.7855992, -122.4180903 37.7855996, -122.4180909 37.7855999, -122.4180915 37.7856003, -122.4180921 37.7856006, -122.4180927 37.7856009, -122.4180933 37.7856013, -122.4180939 37.7856016, -122.4180945 37.7856019, -122.4180951 37.7856022, -122.4180958 37.7856024, -122.4180964 37.7856027, -122.418097 37.785603, -122.4180977 37.7856032, -122.4180984 37.7856035, -122.418099 37.7856037, -122.4180997 37.7856039, -122.4181003 37.7856042, -122.418101 37.7856044, -122.4181017 37.7856046, -122.4181024 37.7856048, -122.4181031 37.7856049, -122.4181038 37.7856051, -122.4181045 37.7856053, -122.4181052 37.7856054, -122.4181059 37.7856056, -122.4181066 37.7856057, -122.4181073 37.7856058, -122.418108 37.7856059, -122.4181087 37.785606, -122.4181094 37.7856061, -122.4181101 37.7856062, -122.4181109 37.7856063, -122.4181116 37.7856064, -122.4181123 37.7856064, -122.418113 37.7856065, -122.4181137 37.7856065, -122.4181145 37.7856065, -122.4181152 37.7856065, -122.4181159 37.7856065, -122.4181166 37.7856065, -122.4181174 37.7856065, -122.4181181 37.7856065, -122.4181188 37.7856065, -122.4181195 37.7856064, -122.4181202 37.7856064, -122.418121 37.7856063, -122.4181217 37.7856062, -122.4181224 37.7856061, -122.4183751 37.785574, -122.4183713 37.785555, -122.4183061 37.7852228, -122.4182998 37.7851903, -122.4180467 37.7852225)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Seward Mini Park,-122.44005228,37.75762035,0.41638849,73,18137.88135014,701.96739817,Mini Park,Seward & Acme,San Francisco,CA,94114,Buena Vista Complex,PSA5,8,Recreation & Park,126.0,11th Senatorial District,Eureka Valley,Mission,12th Congressional District,Eureka Valley / Dolores Heights,17th Assembly District,Castro/Upper Market,"MULTIPOLYGON (((-122.4397127 37.7578871, -122.4396683 37.7579467, -122.4398011 37.7579958, -122.4398508 37.7579428, -122.4400732 37.7577047, -122.4401106 37.7577298, -122.4404315 37.7574853, -122.4404519 37.7574698, -122.4404502 37.7574678, -122.4404485 37.7574658, -122.4404467 37.7574639, -122.4404449 37.757462, -122.440443 37.7574601, -122.4404411 37.7574582, -122.4404392 37.7574564, -122.4404372 37.7574546, -122.4404352 37.7574528, -122.4404331 37.7574511, -122.440431 37.7574493, -122.4404289 37.7574476, -122.4404267 37.757446, -122.4404245 37.7574443, -122.4404222 37.7574427, -122.44042 37.7574412, -122.4404177 37.7574396, -122.4404153 37.7574381, -122.4404151 37.757438, -122.4402071 37.7573072, -122.4402042 37.7573054, -122.4402013 37.7573037, -122.4401984 37.757302, -122.4401969 37.7573012, -122.4401812 37.7573189, -122.4400124 37.7575088, -122.4399258 37.7576062, -122.4399021 37.7576329, -122.4397127 37.7578871)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Selby & Palou Mini Park,-122.40038108,37.73886799,0.42033425,157,18309.76669413,617.12603912,Mini Park,Palou & Selby,San Francisco,CA,94124,Bayview/Palega Complex,PSA3,10,Public Works,557.0,11th Senatorial District,Silver Terrace,Bayview,12th Congressional District,Silver Terrace,17th Assembly District,Bayview,"MULTIPOLYGON (((-122.4004799 37.7385967, -122.4000765 37.7390429, -122.4000462 37.7390764, -122.4002223 37.7391761, -122.400223 37.7391766, -122.4002238 37.739177, -122.4002245 37.7391773, -122.4002253 37.7391777, -122.4002261 37.7391781, -122.4002269 37.7391785, -122.4002277 37.7391788, -122.4002285 37.7391791, -122.4002293 37.7391795, -122.4002301 37.7391798, -122.4002309 37.7391801, -122.4002317 37.7391804, -122.4002326 37.7391807, -122.4002334 37.7391809, -122.4002342 37.7391812, -122.4002351 37.7391814, -122.400236 37.7391817, -122.4002368 37.7391819, -122.4002377 37.7391821, -122.4002386 37.7391823, -122.4002394 37.7391825, -122.4002403 37.7391827, -122.4002412 37.7391828, -122.4002421 37.739183, -122.400243 37.7391831, -122.4002439 37.7391832, -122.4002447 37.7391833, -122.4002456 37.7391834, -122.4002465 37.7391835, -122.4002474 37.7391836, -122.4002483 37.7391837, -122.4002492 37.7391837, -122.4002501 37.7391838, -122.4002511 37.7391838, -122.400252 37.7391838, -122.4002529 37.7391838, -122.4002538 37.7391838, -122.4002547 37.7391838, -122.4002556 37.7391837, -122.4002565 37.7391837, -122.4002574 37.7391836, -122.4002583 37.7391835, -122.4002592 37.7391834, -122.4002601 37.7391833, -122.400261 37.7391832, -122.4002619 37.7391831, -122.4002628 37.739183, -122.4002636 37.7391828, -122.4002645 37.7391827, -122.4002654 37.7391825, -122.4002663 37.7391823, -122.4002671 37.7391821, -122.400268 37.7391819, -122.4002689 37.7391817, -122.4002697 37.7391814, -122.4002706 37.7391812, -122.4002714 37.7391809, -122.4002723 37.7391807, -122.4002731 37.7391804, -122.4002739 37.7391801, -122.4002747 37.7391798, -122.4002756 37.7391795, -122.4002764 37.7391791, -122.4002772 37.7391788, -122.400278 37.7391785, -122.4002787 37.7391781, -122.4002795 37.7391777, -122.4002803 37.7391773, -122.400281 37.739177, -122.4002818 37.7391766, -122.4002825 37.7391761, -122.4002833 37.7391757, -122.400284 37.7391753, -122.4002847 37.7391748, -122.4002854 37.7391744, -122.4002861 37.7391739, -122.4002868 37.7391735, -122.4002875 37.739173, -122.4002881 37.7391725, -122.4002888 37.739172, -122.4002894 37.7391715, -122.40029 37.739171, -122.4002907 37.7391704, -122.4002913 37.7391699, -122.4002919 37.7391694, -122.4002924 37.7391688, -122.400293 37.7391682, -122.4002936 37.7391677, -122.4002941 37.7391671, -122.4002946 37.7391666, -122.4007131 37.7387037, -122.4007136 37.7387031, -122.4007141 37.7387025, -122.4007146 37.7387019, -122.4007151 37.7387013, -122.4007156 37.7387007, -122.400716 37.7387001, -122.4007165 37.7386995, -122.4007169 37.7386988, -122.4007173 37.7386982, -122.4007177 37.7386975, -122.4007181 37.7386969, -122.4007185 37.7386962, -122.4007188 37.7386956, -122.4007192 37.7386949, -122.4007195 37.7386942, -122.4007198 37.7386936, -122.4007201 37.7386929, -122.4007204 37.7386922, -122.4007206 37.7386915, -122.4007209 37.7386908, -122.4007211 37.7386901, -122.4007213 37.7386894, -122.4007216 37.7386887, -122.4007217 37.738688, -122.4007219 37.7386873, -122.4007221 37.7386866, -122.4007222 37.7386859, -122.4007224 37.7386852, -122.4007225 37.7386845, -122.4007226 37.7386838, -122.4007226 37.7386831, -122.4007227 37.7386823, -122.4007228 37.7386816, -122.4007228 37.7386809, -122.4007228 37.7386802, -122.4007228 37.7386795, -122.4007228 37.7386787, -122.4007228 37.738678, -122.4007227 37.7386773, -122.4007227 37.7386766, -122.4007226 37.7386759, -122.4007225 37.7386752, -122.4007224 37.7386744, -122.4007223 37.7386737, -122.4007221 37.738673, -122.400722 37.7386723, -122.4007218 37.7386716, -122.4007216 37.7386709, -122.4007214 37.7386702, -122.4007212 37.7386695, -122.400721 37.7386688, -122.4007207 37.7386681, -122.4007205 37.7386674, -122.4007202 37.7386667, -122.4007199 37.7386661, -122.4007196 37.7386654, -122.4007193 37.7386647, -122.4007189 37.7386641, -122.4007186 37.7386634, -122.4007182 37.7386627, -122.4007178 37.7386621, -122.4007174 37.7386614, -122.400717 37.7386608, -122.4007166 37.7386602, -122.4007162 37.7386595, -122.4007157 37.7386589, -122.4007153 37.7386583, -122.4007148 37.7386577, -122.4007143 37.7386571, -122.4007138 37.7386565, -122.4007133 37.7386559, -122.4007127 37.7386553, -122.4007122 37.7386547, -122.4007116 37.7386542, -122.4007111 37.7386536, -122.4007105 37.738653, -122.4007099 37.7386525, -122.4007093 37.738652, -122.4007087 37.7386514, -122.4007081 37.7386509, -122.4007074 37.7386504, -122.4007068 37.7386499, -122.4007061 37.7386494, -122.4007054 37.7386489, -122.4007048 37.7386485, -122.4007041 37.738648, -122.4007034 37.7386475, -122.4007027 37.7386471, -122.4007019 37.7386467, -122.4007012 37.7386462, -122.4007011 37.7386462, -122.4005252 37.7385466, -122.4004799 37.7385967)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Saturn Street Steps,-122.44050622,37.7627227,0.21455204,79,9345.88668446,445.76580893,Mini Park,Saturn & Ord,San Francisco,CA,94114,Buena Vista Complex,PSA5,8,Recreation & Park,133.0,11th Senatorial District,Corona Heights,Park,12th Congressional District,Corona Heights,17th Assembly District,Castro/Upper Market,"MULTIPOLYGON (((-122.4407551 37.7626367, -122.440746 37.7626372, -122.4403947 37.7626579, -122.4403676 37.7626595, -122.4403307 37.7626617, -122.4402241 37.7626682, -122.440239 37.7628216, -122.4403456 37.762815, -122.4408147 37.7627874, -122.4408081 37.7627189, -122.4408005 37.7626408, -122.4407999 37.762634, -122.4407551 37.7626367)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Randolph & Bright Mini Park,-122.4636678,37.71449646,0.13031002,16,5676.30457314,300.05439328,Mini Park,Randolph & Bright,San Francisco,CA,94132,Lake Merced Complex,PSA4,11,Recreation & Park,33.0,11th Senatorial District,Merced Heights,Taraval,14th Congressional District,Ingleside Heights,19th Assembly District,Ocean View,"MULTIPOLYGON (((-122.4636057 37.714382, -122.463605 37.714382, -122.4636042 37.714382, -122.4636035 37.7143821, -122.4636028 37.7143822, -122.4636021 37.7143822, -122.4636014 37.7143823, -122.4636007 37.7143824, -122.4635999 37.7143825, -122.4635992 37.7143826, -122.4635985 37.7143827, -122.4635978 37.7143829, -122.4635971 37.714383, -122.4635964 37.7143831, -122.4635957 37.7143833, -122.463595 37.7143835, -122.4635943 37.7143837, -122.4635937 37.7143838, -122.463593 37.714384, -122.4635923 37.7143842, -122.4635916 37.7143845, -122.463591 37.7143847, -122.4635903 37.7143849, -122.4635896 37.7143852, -122.463589 37.7143854, -122.4635883 37.7143857, -122.4635877 37.7143859, -122.4635871 37.7143862, -122.4635864 37.7143865, -122.4635858 37.7143868, -122.4635852 37.7143871, -122.4635846 37.7143874, -122.463584 37.7143878, -122.4635834 37.7143881, -122.4635828 37.7143884, -122.4635822 37.7143888, -122.4635817 37.7143891, -122.4635811 37.7143895, -122.4635806 37.7143899, -122.46358 37.7143902, -122.4635795 37.7143906, -122.4635789 37.714391, -122.4635784 37.7143914, -122.4635779 37.7143918, -122.4635774 37.7143922, -122.4635769 37.7143927, -122.4635764 37.7143931, -122.463576 37.7143935, -122.4635755 37.714394, -122.463575 37.7143944, -122.4635746 37.7143949, -122.4635742 37.7143953, -122.4635737 37.7143958, -122.4635733 37.7143963, -122.4635729 37.7143967, -122.4635725 37.7143972, -122.4635721 37.7143977, -122.4635718 37.7143982, -122.4635714 37.7143987, -122.4635711 37.7143992, -122.4635707 37.7143997, -122.4635704 37.7144002, -122.4635701 37.7144007, -122.4635698 37.7144013, -122.4635695 37.7144018, -122.4635692 37.7144023, -122.4635689 37.7144028, -122.4635687 37.7144034, -122.4635684 37.7144039, -122.4635682 37.7144045, -122.4635679 37.714405, -122.4635677 37.7144056, -122.4635675 37.7144061, -122.4635674 37.7144067, -122.4635672 37.7144072, -122.463567 37.7144078, -122.4635669 37.7144083, -122.4635667 37.7144089, -122.4635666 37.7144095, -122.4635665 37.71441, -122.4635664 37.7144106, -122.4635663 37.7144112, -122.4635662 37.7144118, -122.4635662 37.7144123, -122.4635661 37.7144129, -122.4635661 37.7144135, -122.463566 37.7144141, -122.463566 37.7144146, -122.463566 37.7144152, -122.4635684 37.7146212, -122.4636203 37.7146208, -122.4637087 37.7146201, -122.4637951 37.7146195, -122.4637929 37.7144135, -122.4637925 37.7143805, -122.4636071 37.7143819, -122.4636064 37.714382, -122.4636057 37.714382)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Prentiss Mini Park,-122.41188431,37.74021831,0.06866822,201,2991.18951032,231.26137256,Mini Park,Prentiss & Eugenia,San Francisco,CA,94110,Bernal/St. Mary's Complex,PSA6,9,Recreation & Park,4200000012.0,11th Senatorial District,Bernal Heights,Ingleside,12th Congressional District,Bernal Heights,17th Assembly District,Bernal Heights,"MULTIPOLYGON (((-122.4117618 37.7402617, -122.4117611 37.7402704, -122.4120254 37.7402833, -122.4120338 37.740176, -122.4117728 37.7401636, -122.4117695 37.7401635, -122.4117618 37.7402617)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
Page & Laguna Mini Park,-122.42525001,37.77347224,0.1791796,114,7805.06197446,393.82089327,Mini Park,Page & Laguna Streets,San Francisco,CA,94102,Western Addition Complex,PSA2,5,Recreation & Park,215.0,11th Senatorial District,Lower Haight,Northern,12th Congressional District,Hayes Valley,17th Assembly District,Western Addition,"MULTIPOLYGON (((-122.4251303 37.7732968, -122.4251342 37.7733158, -122.425166 37.7734728, -122.4251691 37.7734886, -122.4252 37.7736409, -122.4252082 37.7736816, -122.4253961 37.7736577, -122.4253879 37.773617, -122.4253221 37.7732919, -122.4253182 37.7732729, -122.4251303 37.7732968)))",04/22/2023 12:01:41 AM,04/22/2023 12:01:41 AM
